Indicator,Country,Time,Value,Flags
Percentage of students in lower secondary education who are female (%),Mongolia,2012,50.20233,
Percentage of students in pre-primary education who are female (%),Malta,1999,48.22369,
Percentage of students in pre-primary education who are female (%),Malta,2000,47.75376,
Percentage of students in pre-primary education who are female (%),Malta,2001,47.98416,
Percentage of students in pre-primary education who are female (%),Malta,2002,47.74052,
Percentage of students in pre-primary education who are female (%),Malta,2003,49.1567,
Percentage of students in pre-primary education who are female (%),Malta,2004,50.49776,
Percentage of students in pre-primary education who are female (%),Malta,2005,49.80704,
Percentage of students in pre-primary education who are female (%),Malta,2006,47.9603,
Percentage of students in pre-primary education who are female (%),Malta,2007,48.86181,
Percentage of students in pre-primary education who are female (%),Malta,2008,49.26143,
Percentage of students in pre-primary education who are female (%),Malta,2009,48.2989,
Percentage of students in pre-primary education who are female (%),Malta,2010,47.92719,
Percentage of students in pre-primary education who are female (%),Malta,2011,47.63429,
Percentage of students in pre-primary education who are female (%),Malta,2012,47.59505,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,1999,28.76712,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2000,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2001,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2002,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2004,24.45255,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2005,21.33891,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2006,37.44292,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2007,14.28571,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2008,14,
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2011,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2012,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Djibouti,2013,,a
Percentage of students in primary education who are female (%),Namibia,1999,50.10424,
Percentage of students in primary education who are female (%),Namibia,2000,50.02337,
Percentage of students in primary education who are female (%),Namibia,2001,49.98226,
Percentage of students in primary education who are female (%),Namibia,2002,50.07424,
Percentage of students in primary education who are female (%),Namibia,2003,49.91734,
Percentage of students in primary education who are female (%),Namibia,2004,49.95464,
Percentage of students in primary education who are female (%),Namibia,2005,49.81865,
Percentage of students in primary education who are female (%),Namibia,2006,49.80337,
Percentage of students in primary education who are female (%),Namibia,2007,49.59854,
Percentage of students in primary education who are female (%),Namibia,2008,49.49411,
Percentage of students in primary education who are female (%),Namibia,2009,49.3731,
Percentage of students in primary education who are female (%),Namibia,2010,49.26415,
Percentage of students in primary education who are female (%),Namibia,2012,49.11759,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,1999,48.37953,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2000,48.3851,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2001,48.43247,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2002,48.43599,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2003,48.43796,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2004,48.38317,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2005,48.33012,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2006,48.27858,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2007,48.26623,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2008,48.26783,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2009,48.2499,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2010,48.2531,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2011,48.2741,
Percentage of students in primary education who are female (%),Latin America & the Caribbean,2012,48.31098,
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,1999,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2000,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2001,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2002,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2003,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2004,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2005,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2006,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2007,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2008,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Myanmar,2009,,a
Percentage of students in secondary education who are female (%),Mexico,1999,49.94828,
Percentage of students in secondary education who are female (%),Mexico,2000,50.22319,
Percentage of students in secondary education who are female (%),Mexico,2001,50.51124,
Percentage of students in secondary education who are female (%),Mexico,2002,50.89446,
Percentage of students in secondary education who are female (%),Mexico,2003,51.45495,
Percentage of students in secondary education who are female (%),Mexico,2004,51.18485,
Percentage of students in secondary education who are female (%),Mexico,2005,51.18297,
Percentage of students in secondary education who are female (%),Mexico,2006,51.28009,
Percentage of students in secondary education who are female (%),Mexico,2007,51.31241,
Percentage of students in secondary education who are female (%),Mexico,2008,51.39835,
Percentage of students in secondary education who are female (%),Mexico,2009,51.46451,
Percentage of students in secondary education who are female (%),Mexico,2010,51.27854,
Percentage of students in secondary education who are female (%),Mexico,2011,51.11628,
Percentage of students in secondary education who are female (%),Mexico,2012,51.02037,
Percentage of students in lower secondary education who are female (%),Singapore,2007,48.16686,
Percentage of students in lower secondary education who are female (%),Singapore,2008,48.05108,
Percentage of students in lower secondary education who are female (%),Singapore,2009,47.93999,
Percentage of students in lower secondary education who are female (%),World,1999,46.58233,
Percentage of students in lower secondary education who are female (%),World,2000,46.67481,
Percentage of students in lower secondary education who are female (%),World,2001,46.8134,
Percentage of students in lower secondary education who are female (%),World,2002,46.9696,
Percentage of students in lower secondary education who are female (%),World,2003,47.27422,
Percentage of students in lower secondary education who are female (%),World,2004,47.23817,
Percentage of students in lower secondary education who are female (%),World,2005,47.24867,
Percentage of students in lower secondary education who are female (%),World,2006,47.28752,
Percentage of students in lower secondary education who are female (%),World,2007,47.35118,
Percentage of students in lower secondary education who are female (%),World,2008,47.52872,
Percentage of students in lower secondary education who are female (%),World,2009,47.74899,
Percentage of students in lower secondary education who are female (%),World,2010,47.69255,
Percentage of students in lower secondary education who are female (%),World,2011,47.79477,
Percentage of students in lower secondary education who are female (%),World,2012,47.82518,
Percentage of students in primary education who are female (%),Lithuania,1999,48.44829,
Percentage of students in primary education who are female (%),Lithuania,2000,48.68435,
Percentage of students in primary education who are female (%),Lithuania,2001,48.54571,
Percentage of students in primary education who are female (%),Lithuania,2002,48.5534,
Percentage of students in primary education who are female (%),Lithuania,2003,48.53603,
Percentage of students in primary education who are female (%),Lithuania,2004,48.55771,
Percentage of students in primary education who are female (%),Lithuania,2005,48.59176,
Percentage of students in primary education who are female (%),Lithuania,2006,48.40582,
Percentage of students in primary education who are female (%),Lithuania,2007,48.32283,
Percentage of students in primary education who are female (%),Lithuania,2008,48.06107,
Percentage of students in primary education who are female (%),Lithuania,2009,48.11886,
Percentage of students in primary education who are female (%),Lithuania,2010,48.30391,
Percentage of students in primary education who are female (%),Lithuania,2011,48.26745,
Percentage of students in primary education who are female (%),Lithuania,2012,48.56943,
Percentage of students in upper secondary education who are female (%),Asia,1999,43.4294,ﾇ
Percentage of students in upper secondary education who are female (%),Asia,2000,43.6917,ﾇ
Percentage of students in upper secondary education who are female (%),Asia,2001,43.55246,
Percentage of students in upper secondary education who are female (%),Asia,2002,43.63435,ﾇ
Percentage of students in upper secondary education who are female (%),Asia,2003,44.50792,
Percentage of students in upper secondary education who are female (%),Asia,2004,44.8603,ﾇ
Percentage of students in upper secondary education who are female (%),Asia,2005,45.46948,ﾇ
Percentage of students in upper secondary education who are female (%),Asia,2006,45.7659,
Percentage of students in upper secondary education who are female (%),Asia,2007,46.14283,
Percentage of students in upper secondary education who are female (%),Asia,2008,46.28845,
Percentage of students in upper secondary education who are female (%),Asia,2009,46.66586,
Percentage of students in upper secondary education who are female (%),Asia,2010,46.27154,
Percentage of students in upper secondary education who are female (%),Asia,2011,46.27852,
Percentage of students in upper secondary education who are female (%),Asia,2012,46.38531,ﾇ
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2003,33.33333,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2004,37.00787,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2005,35.60606,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2006,34.78261,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2007,35,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2008,32.25806,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2009,36.36364,
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2010,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Liechtenstein,2011,,a
Percentage of students in secondary education who are female (%),China,2001,46.75559,ﾇ
Percentage of students in secondary education who are female (%),China,2003,46.84521,
Percentage of students in secondary education who are female (%),China,2006,47.66759,
Percentage of students in secondary education who are female (%),China,2007,47.69544,
Percentage of students in secondary education who are female (%),China,2008,47.83003,
Percentage of students in secondary education who are female (%),China,2009,47.97153,
Percentage of students in secondary education who are female (%),China,2010,47.09686,
Percentage of students in secondary education who are female (%),China,2011,47.11494,
Percentage of students in secondary education who are female (%),China,2012,47.18714,
Percentage of students in pre-primary education who are female (%),Tajikistan,1999,42.44891,
Percentage of students in pre-primary education who are female (%),Tajikistan,2000,45.09435,
Percentage of students in pre-primary education who are female (%),Tajikistan,2001,44.92314,
Percentage of students in pre-primary education who are female (%),Tajikistan,2002,46.18245,
Percentage of students in pre-primary education who are female (%),Tajikistan,2003,47.66494,
Percentage of students in pre-primary education who are female (%),Tajikistan,2004,47.24861,
Percentage of students in pre-primary education who are female (%),Tajikistan,2005,46.76781,
Percentage of students in pre-primary education who are female (%),Tajikistan,2006,45.99742,
Percentage of students in pre-primary education who are female (%),Tajikistan,2007,46.33549,
Percentage of students in pre-primary education who are female (%),Tajikistan,2008,45.15784,
Percentage of students in pre-primary education who are female (%),Tajikistan,2009,45.18884,
Percentage of students in pre-primary education who are female (%),Tajikistan,2010,44.49935,
Percentage of students in pre-primary education who are female (%),Tajikistan,2011,44.05694,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,1999,48.25664,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2000,49.45744,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2001,49.89385,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2002,51.11703,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2003,51.94345,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2004,53.03759,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2005,52.8618,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2006,52.30351,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2007,51.54668,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2008,52.26276,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2009,52.27672,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2010,52.51069,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2011,52.86222,
Percentage of students in post-secondary non-tertiary education who are female (%),Oceania,2012,52.78896,
Percentage of students in secondary education who are female (%),Developed countries,1999,49.1609,
Percentage of students in secondary education who are female (%),Developed countries,2000,49.02138,
Percentage of students in secondary education who are female (%),Developed countries,2001,49.01596,
Percentage of students in secondary education who are female (%),Developed countries,2002,48.80512,
Percentage of students in secondary education who are female (%),Developed countries,2003,48.87622,
Percentage of students in secondary education who are female (%),Developed countries,2004,48.94415,
Percentage of students in secondary education who are female (%),Developed countries,2005,48.86797,
Percentage of students in secondary education who are female (%),Developed countries,2006,48.67209,
Percentage of students in secondary education who are female (%),Developed countries,2007,48.76153,
Percentage of students in secondary education who are female (%),Developed countries,2008,48.66207,
Percentage of students in secondary education who are female (%),Developed countries,2009,48.71194,
Percentage of students in secondary education who are female (%),Developed countries,2010,48.63699,
Percentage of students in secondary education who are female (%),Developed countries,2011,48.56942,
Percentage of students in secondary education who are female (%),Developed countries,2012,48.55932,
Percentage of students in secondary education who are female (%),Belarus,2008,47.82188,
Percentage of students in secondary education who are female (%),Belarus,2009,47.79141,
Percentage of students in secondary education who are female (%),Belarus,2010,47.75405,
Percentage of students in secondary education who are female (%),Belarus,2011,47.73359,
Percentage of students in secondary education who are female (%),Belarus,2012,47.71105,
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,1999,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2000,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2001,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2002,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2003,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2004,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2005,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2008,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2009,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Equatorial Guinea,2010,,a
Percentage of students in pre-primary education who are female (%),Nigeria,2001,47.5222,
Percentage of students in pre-primary education who are female (%),Nigeria,2002,48.35016,
Percentage of students in pre-primary education who are female (%),Nigeria,2003,47.75962,
Percentage of students in pre-primary education who are female (%),Nigeria,2004,48.93505,
Percentage of students in pre-primary education who are female (%),Nigeria,2005,48.65901,
Percentage of students in pre-primary education who are female (%),Nigeria,2006,49.25859,
Percentage of students in pre-primary education who are female (%),Nigeria,2008,50.09957,
Percentage of students in pre-primary education who are female (%),Nigeria,2009,44.67148,
Percentage of students in pre-primary education who are female (%),Nigeria,2010,48.5578,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),1999,48.52433,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2000,48.52823,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2001,48.50748,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2002,48.4664,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2003,48.43559,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2004,48.41302,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2005,48.44629,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2006,48.35449,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2007,48.27472,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2008,48.26449,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2009,48.24436,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2010,48.19643,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2011,48.26757,
Percentage of students in primary education who are female (%),Venezuela (Bolivarian Republic of),2012,48.39436,
Percentage of students in secondary education who are female (%),Slovakia,1999,49.50542,
Percentage of students in secondary education who are female (%),Slovakia,2000,49.40715,
Percentage of students in secondary education who are female (%),Slovakia,2001,49.26615,
Percentage of students in secondary education who are female (%),Slovakia,2002,49.18753,
Percentage of students in secondary education who are female (%),Slovakia,2003,49.129,
Percentage of students in secondary education who are female (%),Slovakia,2004,49.25146,
Percentage of students in secondary education who are female (%),Slovakia,2005,49.15409,
Percentage of students in secondary education who are female (%),Slovakia,2006,49.12329,
Percentage of students in secondary education who are female (%),Slovakia,2007,49.0842,
Percentage of students in secondary education who are female (%),Slovakia,2008,49.10107,
Percentage of students in secondary education who are female (%),Slovakia,2009,49.12395,
Percentage of students in secondary education who are female (%),Slovakia,2010,49.04959,
Percentage of students in secondary education who are female (%),Slovakia,2011,48.92363,
Percentage of students in secondary education who are female (%),Slovakia,2012,48.88042,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2000,50.04664,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2001,50.24561,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2002,48.98834,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2003,51.25666,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2004,51.85747,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2005,50.04857,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2006,50.45896,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2007,49.76464,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2008,49.92272,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2009,49.98687,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2010,48.23151,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2011,48.69997,
Percentage of students in pre-primary education who are female (%),Saint Lucia,2012,49.98564,
Percentage of students in pre-primary education who are female (%),Azerbaijan,1999,45.51946,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2000,49.55841,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2001,49.04878,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2002,48.63299,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2003,48.43877,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2004,48.35789,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2005,48.43162,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2006,47.62768,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2007,46.94829,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2008,47.10861,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2009,46.81261,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2010,45.83132,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2011,45.97518,
Percentage of students in pre-primary education who are female (%),Azerbaijan,2012,46.24982,
Percentage of students in lower secondary education who are female (%),Oman,1999,47.83336,
Percentage of students in lower secondary education who are female (%),Oman,2000,47.65916,
Percentage of students in lower secondary education who are female (%),Oman,2001,47.04965,
Percentage of students in lower secondary education who are female (%),Oman,2002,46.78376,
Percentage of students in lower secondary education who are female (%),Oman,2003,46.44914,
Percentage of students in lower secondary education who are female (%),Oman,2005,46.67454,
Percentage of students in lower secondary education who are female (%),Oman,2006,47.56366,
Percentage of students in lower secondary education who are female (%),Oman,2007,47.681,
Percentage of students in lower secondary education who are female (%),Oman,2008,48.35617,
Percentage of students in lower secondary education who are female (%),Oman,2009,47.76073,
